code,name,:LABEL
E05013938,Kingston Town,Ward
E05013698,Barnsbury,Ward
E05009388,Abingdon,Ward
E05013739,Fulham Town,Ward
E05014110,Stockwell East,Ward
E05013601,Tottenham Central,Ward
E05013546,Greenhill,Ward
E05013787,South Twickenham,Ward
E05013928,Alexandra,Ward
E05013618,Heston East,Ward
E05011117,Surrey Docks,Ward
E05011487,Waddon,Ward
E05009376,Homerton,Ward
E05013680,Enfield Lock,Ward
E05013508,Queensbury,Ward
E05013779,Hampton North,Ward
E05013767,Sutton South,Ward
E05013550,Headstone,Ward
E05011480,Selsdon & Addington Village,Ward
E05009324,Island Gardens,Ward
E05014118,Waterloo & South Bank,Ward
E05013561,Wealdstone North,Ward
E05013649,West Hendon,Ward
E05011463,Addiscombe West,Ward
E05011475,Park Hill & Whitgift,Ward
E05013927,West Ham,Ward
E05014077,Eltham Page,Ward
E05014063,Heath,Ward
E05013512,Tokyngton,Ward
E05013780,Hampton Wick & South Teddington,Ward
E05011248,Mayfield,Ward
E05011255,Wanstead Village,Ward
E05011222,Crayford,Ward
E05013552,Kenton West,Ward
E05011107,North Walworth,Ward
E05009385,Stoke Newington,Ward
E05014076,East Greenwich,Ward
E05011229,St Mary's & St James,Ward
E05011468,Fairfield,Ward
E05011469,Kenley,Ward
E05013525,Hanwell Broadway,Ward
E05009334,Stepney Green,Ward
E05013980,Rush Green & Crowlands,Ward
E05013936,King George's & Sunray,Ward
E05013527,North Acton,Ward
E05013497,Barnhill,Ward
E05013526,Lady Margaret,Ward
E05013630,Burnt Oak,Ward
E05013619,Heston West,Ward
E05013886,Endlebury,Ward
E05014109,St Martin's,Ward
E05014027,Wandsworth Common,Ward
E05013728,New Cross Gate,Ward
E05013709,Mildmay,Ward
E05013705,Hillrise,Ward
E05011244,Goodmayes,Ward
E05013644,High Barnet,Ward
E05013910,East Ham South,Ward
E05009321,Bromley North,Ward
E05013581,West Drayton,Ward
E05013616,Hanworth Village,Ward
E05009391,Chelsea Riverside,Ward
E05011482,Shirley North,Ward
E05011254,Wanstead Park,Ward
E05014012,Falconbrook,Ward
E05013918,Plaistow North,Ward
E05013794,Church Street,Ward
E05013882,Cann Hall,Ward
E05013738,Fulham Reach,Ward
E05011485,South Norwood,Ward
E05013745,Parsons Green & Sandford,Ward
E05013932,Coombe Hill,Ward
E05013699,Bunhill,Ward
E05011236,Bridge,Ward
E05011470,New Addington North,Ward
E05013894,Larkswood,Ward
E05013620,Hounslow Central,Ward
E05014116,Streatham Wells,Ward
E05013531,Northolt Mandeville,Ward
E05013610,Chiswick Homefields,Ward
E05014018,St Mary's,Ward
E05013568,Harefield Village,Ward
E05013676,Bush Hill Park,Ward
E05013717,Catford South,Ward
E05013741,Hammersmith Broadway,Ward
E05013560,Stanmore,Ward
E05013670,South Hampstead,Ward
E05014009,Balham,Ward
E05013664,Kentish Town South,Ward
E05014020,South Balham,Ward
E05013972,Hacton,Ward
E05013578,Ruislip Manor,Ward
E05013589,Fortis Green,Ward
E05013604,White Hart Lane,Ward
E05013643,Hendon,Ward
E05013735,Brook Green,Ward
E05011220,Blackfen & Lamorbey,Ward
E05014073,Blackheath Westcombe,Ward
E05013566,Colham & Cowley,Ward
E05013977,Marshalls & Rise Park,Ward
E05011462,Addiscombe East,Ward
E05013686,New Southgate,Ward
E05013532,Northolt West End,Ward
E05013732,Telegraph Hill,Ward
E05014104,Herne Hill & Loughborough Junction,Ward
E05013613,Feltham North,Ward
E05013563,West Harrow,Ward
E05013758,Cheam,Ward
E05013688,Palmers Green,Ward
E05013703,Finsbury Park,Ward
E05014078,Eltham Park & Progress,Ward
E05009403,Royal Hospital,Ward
E05013606,Bedfont,Ward
E05013770,Wallington North,Ward
E05014085,Middle Park & Horn Park,Ward
E05013677,Carterhatch,Ward
E05013940,New Malden Village,Ward
E05009318,Blackwall & Cubitt Town,Ward
E05011473,Norbury Park,Ward
E05014107,Myatt's Fields,Ward
E05013924,Stratford,Ward
E05014097,Brixton Rush Common,Ward
E05013696,Winchmore Hill,Ward
E05014088,Plumstead Common,Ward
E05013622,Hounslow Heath,Ward
E05013507,Queens Park,Ward
E05013799,Little Venice,Ward
E05013748,Shepherd's Bush Green,Ward
E05013651,Woodhouse,Ward
E05013968,Cranham,Ward
E05013808,West End,Ward
E05013789,Twickenham Riverside,Ward
E05013583,Yeading,Ward
E05013778,Hampton,Ward
E05013689,Ponders End,Ward
E05013761,St Helier East,Ward
E05013822,Ravensbury,Ward
E05013803,Pimlico South,Ward
E05013937,Kingston Gate,Ward
E05014095,Brixton Acre Lane,Ward
E05011105,Newington,Ward
E05009404,St. Helen's,Ward
E05009379,King's Park,Ward
E05013673,Bowes,Ward
E05013909,East Ham,Ward
E05009399,Notting Dale,Ward
E05013785,St Margarets & North Twickenham,Ward
E05013621,Hounslow East,Ward
E05013809,Westbourne,Ward
E05013976,Hylands & Harrow Lodge,Ward
E05013691,Southbury,Ward
E05013674,Brimsdown,Ward
E05014090,Thamesmead Moorings,Ward
E05013519,Dormers Wells,Ward
E05013939,Motspur Park & Old Malden East,Ward
E05013773,Worcester Park South,Ward
E05014058,Chadwell Heath,Ward
E05009325,Lansbury,Ward
E05013582,Wood End,Ward
E05014029,West Hill,Ward
E05013638,Edgwarebury,Ward
E05013537,Southall Broadway,Ward
E05013746,Ravenscourt,Ward
E05014081,Greenwich Park,Ward
E05013515,Wembley Hill,Ward
E05013499,Cricklewood & Mapesbury,Ward
E05013944,Surbiton Hill,Ward
E05013528,North Greenford,Ward
E05011467,Crystal Palace & Upper Norwood,Ward
E05014028,Wandsworth Town,Ward
E05013727,Lewisham Central,Ward
E05011097,Champion Hill,Ward
E05011237,Chadwell,Ward
E05013760,North Cheam,Ward
E05013919,Plaistow South,Ward
E05009368,Cazenove,Ward
E05013715,Blackheath,Ward
E05013921,Plashet,Ward
E05013557,Rayners Lane,Ward
E05011101,Dulwich Wood,Ward
E05013791,Whitton,Ward
E05009369,Clissold,Ward
E05009332,Shadwell,Ward
E05013781,Heathfield,Ward
E05011471,New Addington South,Ward
E05013897,Leytonstone,Ward
E05013690,Ridgeway,Ward
E05013766,Sutton North,Ward
E05013693,Town,Ward
E05013536,South Acton,Ward
E05013888,Grove Green,Ward
E05009322,Bromley South,Ward
E05013922,Royal Albert,Ward
E05013718,Crofton Park,Ward
E05009402,Redcliffe,Ward
E05013587,Bruce Castle,Ward
E05013975,Heaton,Ward
E05009384,Stamford Hill West,Ward
E05013817,Lavender Fields,Ward
E05013516,Wembley Park,Ward
E05011465,Broad Green,Ward
E05011110,Peckham,Ward
E05014091,West Thamesmead,Ward
E05013579,South Ruislip,Ward
E05013762,St Helier West,Ward
E05014086,"Mottingham, Coldharbour & New Eltham",Ward
E05011466,Coulsdon Town,Ward
E05011483,Shirley South,Ward
E05013588,Crouch End,Ward
E05013672,Arnos Grove,Ward
E05013998,Hayes & Coney Hall,Ward
E05009397,Holland,Ward
E05013825,Village,Ward
E05013914,Green Street West,Ward
E05013768,Sutton West & East Cheam,Ward
E05013719,Deptford,Ward
E05013646,Totteridge & Woodside,Ward
E05013797,Knightsbridge & Belgravia,Ward
E05013523,Greenford Broadway,Ward
E05011252,South Woodford,Ward
E05014014,Lavender,Ward
E05009336,Whitechapel,Ward
E05013769,The Wrythe,Ward
E05014030,West Putney,Ward
E05013678,Cockfosters,Ward
E05013641,Garden Suburb,Ward
E05009389,Brompton & Hans Town,Ward
E05011102,Faraday,Ward
E05014080,Greenwich Creekside,Ward
E05013893,Hoe Street,Ward
E05011241,Cranbrook,Ward
E05014015,Nine Elms,Ward
E05011217,Barnehurst,Ward
E05013518,Central Greenford,Ward
E05014119,West Dulwich,Ward
E05013784,North Richmond,Ward
E05013575,Northwood Hills,Ward
E05013541,Walpole,Ward
E05013648,West Finchley,Ward
E05013602,Tottenham Hale,Ward
E05013585,Alexandra Park,Ward
E05013740,Grove,Ward
E05014071,Whalebone,Ward
E05013708,Laycock,Ward
E05013754,Beddington,Ward
E05011106,North Bermondsey,Ward
E05011112,Rotherhithe,Ward
E05014025,Trinity,Ward
E05014105,Kennington,Ward
E05013521,Ealing Common,Ward
E05009372,Hackney Central,Ward
E05009367,Brownswood,Ward
E05013520,Ealing Broadway,Ward
E05013694,Upper Edmonton,Ward
E05013504,Kingsbury,Ward
E05011103,Goose Green,Ward
E05014067,Parsloes,Ward
E05013790,West Twickenham,Ward
E05011245,Hainault,Ward
E05013815,Graveney,Ward
E05013826,Wandle,Ward
E05013813,Cricket Green,Ward
E05014083,Kidbrooke Park,Ward
E05013911,Forest Gate North,Ward
E05013730,Rushey Green,Ward
E05013675,Bullsmoor,Ward
E05013986,Upminster,Ward
E05011226,Falconwood & Welling,Ward
E05014065,Mayesbrook,Ward
E05014062,Goresbrook,Ward
E05014068,Thames View,Ward
E05013737,Coningham,Ward
E05013795,Harrow Road,Ward
E05013749,Walham Green,Ward
E05013890,Hatch Lane & Highams Park North,Ward
E05013917,Maryland,Ward
E05014001,Orpington,Ward
E05011464,Bensham Manor,Ward
E05013640,Friern Barnet,Ward
E05013666,King's Cross,Ward
E05013599,South Tottenham,Ward
E05013896,Leyton,Ward
E05013663,Kentish Town North,Ward
E05014024,Tooting Broadway,Ward
E05013793,Bayswater,Ward
E05014096,Brixton North,Ward
E05011474,Old Coulsdon,Ward
E05013514,Wembley Central,Ward
E05014064,Longbridge,Ward
E05013645,Mill Hill,Ward
E05009392,Colville,Ward
E05013829,Wimbledon Town & Dundonald,Ward
E05011095,Borough & Bankside,Ward
E05013605,Woodside,Ward
E05013751,West Kensington,Ward
E05013615,Hanworth Park,Ward
E05014102,Clapham Town,Ward
E05013695,Whitewebbs,Ward
