Organisation,Account No,Country,City Short Name,C40,Reporting Year,Sector,Target boundary,Baseline year,Baseline emissions (metric tonnes CO2e),Percentage reduction target,Target date,Comment,City Location,Country Location,id
Comune di Ravenna,36263,Italy,Ravenna,,2016,Total,Entire emissions inventory,2007,1683317.65,23.9,2020.0,This target is related to CO2 emission and was set in the Covenant of Mayors. The target is applied to the whole CO2 emissions including together Local Government Operations and Community.,"(41.913028, 12.518037)","(41.87194, 12.56738)",33
Comune di Udine,36518,Italy,Udine,,2016,Total,"electricity production, agriculture, transports, industry,  commercial and residential",2006,692479.0,20.0,2020.0,,"(46.0667, 13.2333)","(41.87194, 12.56738)",34
Dublin City Council,31313,Ireland,Dublin,,2016,Total,all,2006,5054000.0,20.0,2020.0,,"(53.344479, -6.270843)","(53.41291, -8.24389)",35
Free and Hanseatic City of Hamburg,35868,Germany,Hamburg,,2016,Total,CO2,1990,20727000.0,80.0,2050.0,,"(53.5510846, 9.9936818)","(51.165691, 10.451526)",36
Free and Hanseatic City of Hamburg,35868,Germany,Hamburg,,2016,Total,CO2,1990,20727000.0,50.0,2030.0,,"(53.5510846, 9.9936818)","(51.165691, 10.451526)",36
City of Stockholm,3429,Sweden,Stockholm,C40,2016,Other,"CO2, CH4, N20 and Energy for heating and cooling, electricity use and Energy for transport",1990,3668000.0,100.0,2040.0,Roadmap to a Fossil free-fuel Stockholm 2050 (being updated to 2040) according to Stockhom City's budget.,"(59.3293235, 18.0685808)","(60.128161, 18.643501)",37
Funchal,50681,Portugal,Funchal,,2016,Total,"The Municipality will intervene in several fields such as buildings, electricity, primary, secundary and tertiary sector, transportation, land planning, among other.",2010,515593.0,20.0,2020.0,"The Municipality is a member of the Covenant of Mayors, an european compromise to reduce the CO2 levels in 20%.","(32.666933, -16.924055)","(39.399872, -8.224454)",38
Gdańsk,58424,Poland,Gdańsk,,2016,Total,"The energy sector (actions independent of the local government); The construction sector (including households, public buildings, etc.); Transportation, environmental education, other activities.",2013,3551302.0,21.0,2020.0,,"(54.352025, 18.646638)","(51.919438, 19.145136)",39
Gladsaxe Kommune,59165,Denmark,Gladsaxe Kommune,,2016,Total,Total municipal inventory,2007,499740.0,20.0,2020.0,,"(55.733461, 12.488686)","(56.26392, 9.501785)",40
Glasgow City Council,31055,United Kingdom,Glasgow,,2016,,,2006,39873000.0,30.0,2020.0,,"(55.859272, -4.212783)","(55.378051, -3.435973)",41
Greater Manchester,35898,United Kingdom,Manchester,,2016,Total,"Direct emissions from road transport and rail, and domestic and industrial emissions from electricity (end user) gas, oil and solid fuels, as well as emissions from land use, land use change, and forestry",1990,21200000.0,48.0,2020.0,"See Climate Change and Low Emission Strategies’
Whole Place Implementation Plan for Greater Manchester
(2016-2020) (attached for detailed actions.","(53.4575955, -2.1578377)","(55.378051, -3.435973)",42
Hoeje-Taastrup Kommune,58489,Denmark,Hoeje-Taastrup Kommune,,2016,Total,,2012,310000.0,98.0,2050.0,"until 2020 3 % reduction per year
2035 Fossil free electricity and heating supply
2050 Fossil free electricity and heating supply and the transport sector
2050 98 % reduction (baseline 2012)","(55.656328, 12.2898)","(56.26392, 9.501785)",43
Hørsholm Kommune,58797,Denmark,Hørsholm Kommune,,2016,Total,,2010,182657.0,20.0,2020.0,,"(55.883514, 12.504924)","(56.26392, 9.501785)",44
Landeshauptstadt Magdeburg,54443,Germany,Landeshauptstadt Magdeburg,,2016,Total,,1990,3955000.0,95.0,2050.0,"GHG sources to
which the target applies:
CO2-City-wide

Solutions of the municipal council","(52.08889, 11.586164)","(51.165691, 10.451526)",45
Landeshauptstadt Magdeburg,54443,Germany,Landeshauptstadt Magdeburg,,2016,Total,,2012,1406000.0,86.0,2050.0,"GHG sources to
which the target applies:
CO2-City-wide

Solutions of the municipal council","(52.08889, 11.586164)","(51.165691, 10.451526)",45
Município de Moita,55442,Portugal,Moita,,2016,Total,Entire local government inventory,2008,15177.0,20.0,2020.0,,"(41.30284, -8.65731)","(39.399872, -8.224454)",46
Sonderborg Kommune,58488,Denmark,Sonderborg Kommune,,2016,Total,,2007,180500.0,25.0,2015.0,,"(54.913811, 9.792178)","(56.26392, 9.501785)",47
Sonderborg Kommune,58488,Denmark,Sonderborg Kommune,,2016,Total,,2007,361000.0,50.0,2020.0,,"(54.913811, 9.792178)","(56.26392, 9.501785)",47
Sonderborg Kommune,58488,Denmark,Sonderborg Kommune,,2016,,,2007,722000.0,100.0,2029.0,,"(54.913811, 9.792178)","(56.26392, 9.501785)",47
City of Ann Arbor,54092,USA,Ann Arbor,,2016,,,2000,3063483.0,25.0,2025.0,,"(42.2808, -83.743)","(37.09024, -95.712891)",31
Stadt Zürich,35449,Switzerland,Stadt Zürich,,2016,Other,Baseline emissions: 5.5 tonnes CO2e per person per year (in the year 2005); according to 2000-Watt-methodology,2005,3063483.0,28.0,2020.0,"The baseline emission and the target emission are measured in tonnes CO2e per person per year.

Target for 2050: 1.0 tonnes CO2e per person (18% of 2005)
Target for 2035: 2.5 tonnes CO2e per person (45% of 2005)
Target for 2020: 4.0 tonnes CO2e per person (72% of 2005)","(47.3686498, 8.5391825)","(46.818188, 8.227512)",48
Stadt Zürich,35449,Switzerland,Stadt Zürich,,2016,,,2005,3063483.0,55.0,2035.0,,"(47.3686498, 8.5391825)","(46.818188, 8.227512)",48
Stadt Zürich,35449,Switzerland,Stadt Zürich,,2016,,,2005,3063483.0,82.0,2050.0,,"(47.3686498, 8.5391825)","(46.818188, 8.227512)",48
City of Oslo,14088,Norway,Oslo,C40,2016,Total,"CO2, CH4, N2O,",1991,1200000.0,95.0,2030.0,"With a new City government in office from september 2015, the GHG-target was expedited from 2050 to 2030.","(59.9138688, 10.7522454)","(60.472024, 8.468946)",49
Tarnów,58537,Poland,Tarnów,,2016,Total,"Reduction of GHG, mainly CO2 by lowering energy use and more efficient use of renewable energy sources. It applies to investment processes and other, in sectors such as: exploitation of private and public buildings, city lights and public transport functions, municipal economy and industry, local power engineering, both conventional and based on renewable energy sources.",2013,20232.0,8.46,2020.0,Data based on plan mentioned in 7.1. a - row 3,"(50.012101, 20.985841)","(51.919438, 19.145136)",50
Tbilisi City,50211,Georgia,Tbilisi,,2016,,transport; buildings; outdoor lighting; landfills; Waste water; gas & electricity distribution.,2010,3063483.0,24.0,2020.0,,"(41.715138, 44.827096)","(40.786168, -81.288192)",51
The Hague,43930,Netherlands,The Hague,,2016,"Other: Domestic buildings, industry and other businesses (including non-domestic buildings), traffic and waste treatment.",,1990,2499.0,30.0,2020.0,,"(52.070498, 4.3007)","(52.132633, 5.291266)",52
The Hague,43930,Netherlands,The Hague,,2016,"Other: Domestic buildings, industry and other businesses (including non-domestic buildings), traffic and waste treatment.",,1990,2499.0,100.0,2040.0,,"(52.070498, 4.3007)","(52.132633, 5.291266)",52
City of Minneapolis,35879,USA,Minneapolis,,2016,Total,"scope 1, scope 2 and some scope 3",2006,5700000.0,15.0,2015.0,,"(44.983334, -93.26667)","(37.09024, -95.712891)",53
Torres Vedras Municipality,19233,Portugal,Torres Vedras ,,2016,Total,"Transports, buildings, local energy production",2009,268064.0,29.0,2020.0,"Torres Vedras SEAP is an integrated plan to reduce emissions of the community and local government operations, the amount provided for emission reduction is a global value. In the plan are set 61 actions for the community and the local government operations.","(38.763669, -9.30148)","(39.399872, -8.224454)",54
Village of Kadiovacik,35755,Turkey,Kadiovacik,,2016,Total,,2014,467.45,4.0,2016.0,,"(38.3434574, 26.553613)","(38.963745, 35.243322)",55
Ville de Lausanne,54520,Switzerland,Lausanne,,2016,Other: Energy and mobility,CO2,2005,585531.0,20.0,2020.0,already reached,"(46.5198, 6.6335)","(46.818188, 8.227512)",56
Ville de Monaco,50792,Monaco,Monaco,,2016,,Scope 1,1990,107940.0,30.0,2020.0,Kyoto Protocol - Second period,"(43.737411, 7.420816)","(43.738418, 7.424616)",57
Ville de Monaco,50792,Monaco,Monaco,,2016,,Scope 1,1990,107940.0,22.0,2020.0,Kyoto Protocol - QUELRO 2012-2020,"(43.737411, 7.420816)","(43.738418, 7.424616)",57
City of Gdynia,60114,Poland,Gdynia,,2016,Total,,,3063483.0,20.0,2020.0,"Gdynia has the Low Emission Economy Plan 2015-2020. Up to 2020 Gdynia declared to reduce the emission of CO2 by 20%, to reduce the consumption of  the final energy by 28% and to increase power installed renewable energy sources by 14 MW.","(54.51889, 18.530541)","(51.919438, 19.145136)",58
Ayuntamiento de Madrid,31171,Spain,Madrid,C40,2016,Total,Total,2005,11527000.0,35.0,2020.0,,"(40.1076253, -3.3875673)","(40.463667, -3.74922)",59
Ayuntamiento de Madrid,31171,Spain,Madrid,C40,2016,Total,Total,1990,12653000.0,20.0,2020.0,,"(40.1076253, -3.3875673)","(40.463667, -3.74922)",59
Ayuntamiento de Madrid,31171,Spain,Madrid,C40,2016,Transport,Road transport,2011,2367000.0,20.0,2020.0,,"(40.1076253, -3.3875673)","(40.463667, -3.74922)",59
Basel-Stadt,31151,Switzerland,Basel-Stadt,C40,2016,Total,20% Reduction till 2020 opposite to 1990,1990,1108030.0,20.0,2020.0,Swiss federal law CO2,"(47.5619, 7.5928)","(46.818188, 8.227512)",60
Basel-Stadt,31151,Switzerland,Basel-Stadt,C40,2016,Total,100% climate neutral administration in Basel-City. CO2.,2008,3063483.0,100.0,2030.0,http://www.2000-watt.bs.ch/en/pilotregion_basel- 2/schwerpunkt-bauen/klimaneutrale-verwaltung.htm,"(47.5619, 7.5928)","(46.818188, 8.227512)",60
City of Amsterdam,31148,Netherlands,Amsterdam,C40,2016,Total,within city boudaries,1990,3417000.0,40.0,2025.0,,"(52.370216, 4.895168)","(52.132633, 5.291266)",61
City of Amsterdam,31148,Netherlands,Amsterdam,C40,2016,Total,within city boundaries,1990,3417000.0,75.0,2040.0,,"(52.370216, 4.895168)","(52.132633, 5.291266)",61
City of Cape Town,35858,South Africa,Cape Town,C40,2016,Total,"The City has an Energy2040 Vision where it  aims to improve efficiency in electricity and transport, as well as cleaner electricity supply.",2012,20550172.0,13.0,2020.0,"The targets are set s in the City’s Energy and Climate Action Plan (ECAP) and is currently being reviewed and updated as part of the City’s Energy 2040 vision and ECAP update process, to be finalised by end 2015. Updated targets will be provided in the 2016 CDP submission. Current electricity consumption levels city-wide are below 2007 levels.","(-33.9253, 18.4239)","(-30.559482, 22.937506)",62
City of Copenhagen,31009,Denmark,Copenhagen,C40,2016,Total,All sources,2005,2541000.0,20.0,2015.0,,"(55.6760968, 12.5683371)","(56.26392, 9.501785)",63
City of Copenhagen,31009,Denmark,Copenhagen,C40,2016,Total,All sources,2010,2240000.0,100.0,2025.0,,"(55.6760968, 12.5683371)","(56.26392, 9.501785)",63
City of Los Angeles,10894,USA,Los Angeles,C40,2016,Total,City of Los Angeles,1990,36200000.0,45.0,2025.0,,"(34.0522342, -118.2436849)","(37.09024, -95.712891)",64
City of Durban,35863,South Africa,Durban,C40,2016,Total,CO2,2006,21413906.0,24.5,2020.0,"The target of 24.5% is articulated in the municipal energy strategy (2008). However, a climate change adaptation and mitigation strategy for the city is currently being developed which will revise these targets to align with the national climate change policy.","(-29.8586804, 31.0218404)","(-30.559482, 22.937506)",65
City of Johannesburg,31115,South Africa,Johannesburg,C40,2016,Total,,2007,27000000.0,40.0,2040.0,,"(-26.2041028, 28.0473051)","(-30.559482, 22.937506)",66
City of Oslo,14088,Norway,Oslo,C40,2016,Total,"CO2, CH4, N2O,",1991,1200000.0,50.0,2020.0,"With a new City government in office from september 2015, the GHG-target was expedited from 2030 to 2020.","(59.9138688, 10.7522454)","(60.472024, 8.468946)",49
City of Paris,31175,France,Paris,C40,2016,Total,all sources all scopes,2004,25000000.0,25.0,2020.0,To respect the European objectives by 2020 and to decrease overall emissions by 75% in 2050 compared with 2004,"(48.856614, 2.3522219)","(46.227638, 2.213749)",67
City of Paris,31175,France,Paris,C40,2016,Total,all sources all scopes,2004,25000000.0,75.0,2050.0,,"(48.856614, 2.3522219)","(46.227638, 2.213749)",67
City of Paris,31175,France,Paris,C40,2016,Total,"GPC standard, BASIC format",2004,6200000.0,40.0,2030.0,Signed agreement on Act2 of Covenant of Mayors,"(48.856614, 2.3522219)","(46.227638, 2.213749)",67
City of Stockholm,3429,Sweden,Stockholm,C40,2016,Other,"CO2, CH4, N20 and Energy for heating and cooling, electricity use and Energy for transport",1990,3668000.0,24.0,2020.0,"Stockholm has a goal that by 2020 our GHG per capita should be down to 2,3 ton 2020 per person.","(59.3293235, 18.0685808)","(60.128161, 18.643501)",37
City of Minneapolis,35879,USA,Minneapolis,,2016,Total,"scope 1, scope 2 and some scope 3",2006,5700000.0,30.0,2020.0,2025 target date,"(44.983334, -93.26667)","(37.09024, -95.712891)",53
City of Warsaw,31185,Poland,Warsaw,C40,2016,Total,all sources of CO2 emissions,2007,12952984.0,20.0,2020.0,"The sectors included in the emissions reduction target include buildings, transport and other sectors but not waste.","(52.2296756, 21.0122287)","(51.919438, 19.145136)",68
Comune di Milano,31173,Italy,Milano,C40,2016,Total,"emissions (scope 1 and 2) due to
Building heating (residential, terziary, industry, public and private)
domestic uses
other uses (tertiary, industry)
public lighting
mobility (public and private)",2005,7418.0,20.0,2020.0,,"(45.802578, 9.086356)","(41.87194, 12.56738)",69
Comune di Venezia,36254,Italy,Venezia,C40,2016,Buildings,"Tertiary (non municipal) buildings, equipment/facilities",2005,512859.0,29.1,2020.0,"SEAP action ""free-01 - extimated CO2 reduction by 2020:    1072t""
SEAP action ""free-02 - extimated CO2 reduction by 2020:      292t""
SEAP action ""free-06 - extimated CO2 reduction by 2020:      997t""
SEAP action ""free-07 - extimated CO2 reduction by 2020: 22946t""
SEAP action ""free-08 - extimated CO2 reduction by 2020:    4347t""
SEAP action ""free-09 - extimated CO2 reduction by 2020:         97t""
SEAP action ""free-10 - extimated CO2 reduction by 2020:       772t""
SEAP action ""free-11 - extimated CO2 reduction by 2020:       132t""
SEAP action ""free-12 -extimated CO2 reduction by 2020:        166t""
SEAP action ""free-13 - extimated CO2 reduction by 2020:       477t""
SEAP action ""free-14 [1/2]- extimated CO2 reduction by 2020:  13702t""
SEAP action ""free-15 - extimated CO2 reduction by 2020:     3941t""
SEAP action ""free-16 - extimated CO2 reduction by 2020:   19020t""
SEAP action ""free-17 - extimated CO2 reduction by 2020:        168t""
SEAP action ""pure-03 - extimated CO2 reduction by 2020:  38238t""
total extimated CO2 reduction by 2020: 106367t""","(45.4332515, 12.3210704)","(41.87194, 12.56738)",70
Comune di Venezia,36254,Italy,Venezia,C40,2016,Buildings,Residential buildings,2005,524145.0,13.1,2020.0,"SEAP action ""free-14 [1/2] - extimated CO2 reduction by 2020: 13704t""
SEAP action ""pure-02 - extimated CO2 reduction by 2020:        55314t""
total extimated CO2 reduction by 2020: 69018t""","(45.4332515, 12.3210704)","(41.87194, 12.56738)",70
Comune di Venezia,36254,Italy,Venezia,C40,2016,Transport,Private and Commercial Transport,2005,381340.0,39.2,2020.0,"SEAP action ""move-01 - extimated CO2 reduction by 2020: 17022t""
SEAP action ""move-02 - extimated CO2 reduction by 2020:   7081t""
SEAP action ""move-03 - extimated CO2 reduction by 2020:   3559t""
SEAP action ""move-04 - extimated CO2 reduction by 2020:        62t""
SEAP action ""move-05 - extimated CO2 reduction by 2020:   3418t""
SEAP action ""move-06 - extimated CO2 reduction by 2020: 18844t""
SEAP action ""move-07 - extimated CO2 reduction by 2020:   2431t""
SEAP action ""move-08 - extimated CO2 reduction by 2020: 96412t""
SEAP action ""move-09 - extimated CO2 reduction by 2020:     600t""
SEAP action ""move-10 - extimated CO2 reduction by 2020:       37t""
SEAP action ""move-14 - extimated CO2 reduction by 2020:       68t""
total extimated CO2 reduction by 2020: 149534t""","(45.4332515, 12.3210704)","(41.87194, 12.56738)",70
Comune di Venezia,36254,Italy,Venezia,C40,2016,Total,Total inventory,2005,1418344.0,22.9,2020.0,The expected reduction for Tertiary+Residential+Private and Commercial transport is: 324.919t,"(45.4332515, 12.3210704)","(41.87194, 12.56738)",70
Greater London Authority,3422,United Kingdom,London ,C40,2016,Other,CO2,1990,45000000.0,80.0,2050.0,Interim targets are also in place for 2025,"(51.504858, -0.078689)","(55.378051, -3.435973)",71
Roma Capitale,31110,Italy,Roma ,C40,2016,Transport,Transport,2003,4174937.0,23.0,2020.0,,"(41.8723889, 12.4801802)","(41.87194, 12.56738)",72
Roma Capitale,31110,Italy,Roma ,C40,2016,Buildings,Residential,2003,3593877.0,15.0,2020.0,,"(41.8723889, 12.4801802)","(41.87194, 12.56738)",72
City of St Louis,35393,USA,St Louis,,2016,Total,,2005,7972916.0,80.0,2050.0,,"(38.6270025, -90.1994042)","(37.09024, -95.712891)",73
Roma Capitale,31110,Italy,Roma ,C40,2016,Other:,Tertiary,2003,3230703.0,0.0,2020.0,Emission for tertiary are forecasted increasing of 18%,"(41.8723889, 12.4801802)","(41.87194, 12.56738)",72
City of Albany,54102,USA,Albany,,2016,Buildings,"Residential, Commercial, Industrial",2009,903226.0,10.0,2030.0,,"(42.6526, -73.7562)","(37.09024, -95.712891)",74
City of Albany,54102,USA,Albany,,2016,Transport,,2009,276097.0,20.0,2030.0,,"(42.6526, -73.7562)","(37.09024, -95.712891)",74
City of Albany,54102,USA,Albany,,2016,Waste,,2009,13797.0,10.0,2030.0,,"(42.6526, -73.7562)","(37.09024, -95.712891)",74
"City of Arlington, VA",55799,USA,"Arlington, Va",,2016,Total,Community,2007,2668991.0,76.0,2050.0,"Arlington's community GHG emissions reduction target is to reach 3.0 metric tonnes CO2e per capita by 2050, from a 2007 baseline of 13.4 mt/capita.","(37.226486, -76.002594)","(37.09024, -95.712891)",75
City of Aspen and Pitkin County,52897,USA,Aspen And Pitkin County,,2016,Other,"Scope 1
Scope 2
Scope 3",2004,762829.0,30.0,2020.0,,"(39.195, -106.837)","(37.09024, -95.712891)",76
City of Aspen and Pitkin County,52897,USA,Aspen And Pitkin County,,2016,Other,"Scope 1
Scope 2
Scope 3",2004,762829.0,80.0,2050.0,,"(39.195, -106.837)","(37.09024, -95.712891)",76
City of Atlanta,1093,USA,Atlanta,,2016,Buildings,city-wide control,2009,5356727.0,20.0,2020.0,"Benchmarking and retrofits for buildings larger than 25,000 soft","(33.7489954, -84.3879824)","(37.09024, -95.712891)",10
City of Atlanta,1093,USA,Atlanta,,2016,Transport,city-wide control,2009,2300000.0,20.0,2020.0,"Sharing mobility strategies, TOD, and parking strategies","(33.7489954, -84.3879824)","(37.09024, -95.712891)",10
"City of Aurora, CO",55467,USA,"Aurora, Co",,2016,Total,"Residential/Commercial/Industrial/Public building energy use, transportation, fuel production and shipping, water/wastewater, food, cement, agricultural, and municipal solid waste.",2007,4641240.0,10.0,2025.0,Buckley Air Force Base not included. Methodology developed by University of Colorado Denver,"(39.7294, -104.8319)","(37.09024, -95.712891)",77
City of Baltimore,35853,USA,Baltimore,,2016,Other,"Key findings by sector provide guidance for where strategies can perhaps slow future emissions growth.
• GHG emissions from the energy sector are anticipated
to increase slightly from 79.5 percent (2010) to 79.9
percent (2020).
• The transportation-related emissions are anticipated
to decrease from 15.6 percent (2010) to 15.2 percent
(2020).
• The waste-related emissions are anticipated to remain
unchanged at 2.8 percent.
• Wastewater treatment GHG emissions are expected to
remain unchanged at 1.5 percent.
• GHG emissions from the water sector are anticipated
to remain unchanged at 0.7 percent.
All GHG emissions have been calculated and presented in
metric tons of carbon dioxide equivalent emissions per year
(MT CO2e/yr).",2010,7579144.0,15.0,2020.0,"Key findings by sector provide guidance for where strategies can perhaps slow future emissions growth.
• GHG emissions from the energy sector are anticipated
to increase slightly from 79.5 percent (2010) to 79.9
percent (2020).
• The transportation-related emissions are anticipated
to decrease from 15.6 percent (2010) to 15.2 percent
(2020).
• The waste-related emissions are anticipated to remain
unchanged at 2.8 percent.
• Wastewater treatment GHG emissions are expected to
remain unchanged at 1.5 percent.
• GHG emissions from the water sector are anticipated
to remain unchanged at 0.7 percent.
All GHG emissions have been calculated and presented in
metric tons of carbon dioxide equivalent emissions per year
(MT CO2e/yr).","(39.2903848, -76.6121893)","(37.09024, -95.712891)",78
